"YEAR","num_stayed","num_south","num_west","num_va","num_md","num_midwest","num_northeast","num_other","prop_stayed","prop_south","prop_west","prop_va","prop_MD","prop_midwest","prop_northeast","prop_other"
1850,274,10,0,3,19,9,12,0,0.837920489296636,0.0305810397553517,0,0.00917431192660551,0.0581039755351682,0.0275229357798165,0.036697247706422,0
1860,335,20,10,19,15,20,20,0,0.763097949886105,0.0455580865603645,0.0227790432801822,0.0432801822323462,0.0341685649202733,0.0455580865603645,0.0455580865603645,0
1870,522,36,6,15,30,26,50,0,0.762043795620438,0.0525547445255474,0.00875912408759124,0.0218978102189781,0.0437956204379562,0.037956204379562,0.072992700729927,0
1880,11396,390,143,252,552,407,794,0,0.817855604994976,0.027989091431032,0.0102626668580451,0.018085259078513,0.0396153294100761,0.0292091287498206,0.056982919477537,0
1900,6124,135,83,163,345,244,592,0,0.796773354150403,0.0175644028103044,0.0107988550611501,0.0212073900598491,0.0448868071818892,0.0317460317460317,0.0770231589903721,0
1910,1446,34,26,48,103,58,175,5,0.763060686015831,0.0179419525065963,0.0137203166226913,0.0253298153034301,0.054353562005277,0.0306068601583113,0.0923482849604222,0.00263852242744063
1920,1445,42,33,74,164,57,192,0,0.719980069755854,0.0209267563527653,0.0164424514200299,0.036870951669158,0.0817140009965122,0.0284005979073244,0.0956651718983558,0
1930,8808,354,324,643,1308,476,1441,0,0.659577654635315,0.0265089111876591,0.0242623932903999,0.0481503669312566,0.0979481803205032,0.0356447506365134,0.107907742998353,0
1940,2301,109,73,222,465,96,278,0,0.649266365688488,0.0307562076749436,0.0205981941309255,0.0626410835214447,0.131207674943567,0.0270880361173815,0.0784424379232506,0
1950,3811,257,197,612,1339,226,481,0,0.550483894265492,0.0371226346959411,0.0284558717319081,0.0884009822331359,0.193413260147335,0.0326448071645241,0.069478549761664,0
1960,13569,2374,1714,3199,8030,1259,2746,0,0.41254446505123,0.0721777993980116,0.0521115198686571,0.0972606488097048,0.244139734273813,0.0382779483749354,0.0834878842236478,0
1970,6498,1007,928,1569,4362,647,1208,859,0.380489518679002,0.0589647499707226,0.0543389155638834,0.0918725846117812,0.255416325096616,0.037884998243354,0.0707342780185033,0.0502986298161377
1980,12429,5313,2948,5127,14769,1901,3710,0,0.269043444379505,0.115007468017404,0.0638136675541702,0.110981232547568,0.319696084161309,0.0411498582159015,0.0803082451241423,0
1990,12017,7452,4334,7482,22756,2057,4397,0,0.198644516075709,0.123183734192909,0.0716422844863212,0.123679642945698,0.376163319282585,0.0340028101495991,0.0726836928671791,0
2000,11291,9116,5045,8414,24128,2354,4639,0,0.173742440795851,0.140274208687891,0.0776309107975441,0.129472048255805,0.37127425485097,0.0362226291412129,0.0713835074707249,0
